"","tagId","oscarChance"
"1",4,0
"2",6,0
"3",9,0
"4",12,0
"5",27,0
"6",28,0
"7",35,0
"8",36,0
"9",41,0
"10",42,0
"11",44,0
"12",46,0
"13",52,0
"14",59,0
"15",60,0
"16",62,0
"17",64,0
"18",65,0
"19",77,0
"20",81,0
"21",82,0
"22",85,0
"23",88,0.166666666666667
"24",90,0
"25",91,0
"26",92,0
"27",107,0
"28",109,0
"29",111,0
"30",114,0
"31",122,0
"32",132,0
"33",138,0
"34",140,0
"35",141,0
"36",144,0
"37",151,0
"38",153,0
"39",157,0
"40",169,0.0192307692307692
"41",172,0
"42",178,0
"43",188,0
"44",192,0
"45",197,0
"46",201,0
"47",205,0
"48",206,0
"49",212,0
"50",215,0
"51",222,0
"52",226,0
"53",228,0
"54",229,0
"55",230,0
"56",244,0
"57",255,0
"58",267,0
"59",276,0
"60",279,0
"61",280,0
"62",281,0
"63",285,0
"64",297,0
"65",299,0
"66",300,0
"67",310,0
"68",311,0
"69",315,0
"70",316,0
"71",319,0
"72",331,0
"73",337,0
"74",345,0
"75",346,0
"76",348,0
"77",349,0
"78",351,0
"79",354,0
"80",357,0
"81",359,0
"82",362,0
"83",376,0
"84",379,0
"85",384,0
"86",391,0
"87",402,0
"88",405,0
"89",406,0
"90",413,0
"91",416,0
"92",417,0
"93",418,0
"94",421,0
"95",424,0
"96",425,0
"97",430,0
"98",433,0
"99",435,0
"100",439,0
"101",451,0
"102",456,0
"103",467,0
"104",468,0
"105",469,0
"106",488,0
"107",495,0
"108",503,0
"109",507,0
"110",514,0
"111",521,0
"112",522,0
"113",532,0
"114",536,0
"115",544,0
"116",547,0
"117",548,0
"118",554,0
"119",563,0
"120",567,0
"121",570,0
"122",578,0
"123",579,0
"124",584,0
"125",587,0
"126",588,0
"127",592,0
"128",595,0
"129",596,0
"130",613,0
"131",615,0
"132",626,0
"133",627,0
"134",628,0
"135",631,0
"136",632,0
"137",638,0
"138",639,0
"139",641,0
"140",644,0
"141",652,0
"142",654,0
"143",659,0
"144",661,0
"145",670,0
"146",677,0
"147",684,0
"148",685,0
"149",686,0
"150",697,0
"151",704,0
"152",707,0
"153",710,0
"154",711,0
"155",712,0
"156",714,0
"157",717,0
"158",721,0
"159",725,0
"160",729,0
"161",730,0
"162",732,0
"163",741,0
"164",742,0
"165",758,0
"166",759,0
"167",761,0
"168",766,0
"169",769,0
"170",778,0
"171",779,0
"172",789,0
"173",796,0
"174",798,0
"175",799,0
"176",801,0
"177",806,0
"178",810,0
"179",817,0
"180",819,0
"181",832,0
"182",837,0
"183",838,0
"184",864,0
"185",875,0
"186",882,0
"187",894,0
"188",896,0
"189",900,0
"190",902,0
"191",914,0
"192",920,0
"193",922,0
"194",923,0.0454545454545455
"195",925,0
"196",931,0
"197",936,0
"198",952,0
"199",953,0
"200",967,0
"201",972,0
"202",975,0
"203",979,0
